invoice_code,amount,due_date
d27f45c5-5e85-4eff-90c0-c4f27c0ca869,1692,2022-12-03
48be11b9-d4f7-4fda-8586-c09449c578f3,691,2022-11-13
641f5490-53d4-459f-87db-4f8e197a7ff9,275,2022-11-10
fe32190b-9d0a-4637-b02a-4057b3c5cbe8,1592,2022-11-19
adb2d1d2-fcdf-46c5-b565-92a322879f17,2020,2022-11-22
316559ff-f53d-4283-a73f-babdce0d58ec,61,2022-11-08
ce5fa33a-9e2b-42a0-9544-4c90337a0b21,1122,2022-11-16
407be4b1-6874-4219-96b1-d4cd2754086c,1324,2022-12-04
23d4e7a5-b391-4719-aa92-9b5694741218,959,2022-11-17
164ac812-654d-42a5-b225-b145689dab5c,951,2022-11-19
9493530b-b3cb-4f82-9e0e-bf7f7f3ce72f,636,2022-11-12
6c11d0fc-c1c1-48e6-8bf8-973da88521b8,509,2022-12-04
a3fb9a62-b178-4ea7-b796-aeba3995bf7d,564,2022-11-14
21be839c-592c-455b-ab84-6408b23e5c1b,1905,2022-11-27
5fa07352-9255-45c4-b5c2-c75d5e5e5ee2,1213,2022-11-02
77fb9ce9-1934-4d83-886d-d79069f5003a,1617,2022-11-20
7c735c0a-dea6-49b5-9a2d-573fc98617a1,1313,2022-11-12
5c9a9d4f-9f7a-4767-826c-82cff6d9341f,1753,2022-11-27
e74afe4c-c2c0-4f17-aa96-0016f3faa978,1642,2022-10-28
782d8f3b-edde-4fb4-958f-0b095cc1edf7,2431,2022-11-06
f545b3ea-193a-450a-b941-cc4a291b8e98,2070,2022-12-03
c08513d5-652b-4427-a783-94786a0665ab,920,2022-11-18
977eb677-2352-4bb0-9c95-3594ed4d159f,1646,2022-11-27
e8b23b44-fae1-4769-9014-75e327867955,1502,2022-10-31
cbf37658-428e-4492-ba3d-d380906aa6a3,2104,2022-10-25
e89ac847-dae8-474d-8e7e-9fab3d945f03,924,2022-11-25
b2bf2b15-bac9-400c-84d6-d04901804d96,1757,2022-11-20
5a9964c0-4aca-4148-93e7-d50b3a25c5e1,264,2022-11-13
06ecbb8e-6c4a-4da2-ac36-f198b32fb8b6,2264,2022-10-28
337e4237-fc9d-4542-8241-9c64aa71ab0e,2371,2022-11-30
557026ab-0acd-41b3-9d43-1d5ded954d75,1228,2022-11-17
91a2be28-6df8-4dfa-b217-49f54cc75f7d,194,2022-11-15
23ec97b2-d512-41dd-bb90-696d53181b49,1305,2022-11-19
edb48319-0b13-4057-a3c9-208967339e4b,812,2022-11-21
cf7f3f02-7d7d-400c-b24c-2db85de09bd6,2110,2022-10-24
399c7270-0dd0-464a-b35c-06c3a45f6f2d,593,2022-10-27
5c521598-5e73-4c19-b50a-04daba726b74,738,2022-10-26
37ea7512-4c6c-45d4-982b-f459272b6a56,2286,2022-11-18
2840e86b-8147-493a-bf97-255053a8b36a,405,2022-10-27
4b2a237c-4602-43a4-92d7-ed98810e7675,759,2022-10-29
2a9624b5-bc93-454b-98df-478d32f56bd9,475,2022-11-03
1d19b619-b24b-44ac-a154-463650fd460a,1467,2022-11-19
f2a17b82-8394-4586-8435-96fa619723bb,244,2022-10-26
a6447656-aef4-4194-ba3d-8566d5709470,1184,2022-11-03
d0128635-7b71-4823-b627-8f949f5b0fa4,577,2022-11-02
301cf73b-300f-4526-adb6-de663ca1aa7c,2106,2022-10-25
9f99181a-2d77-44fa-bfdc-86e8c05fd9f3,1941,2022-10-24
fef933fc-ce96-41ca-a11b-2bdf04faaa38,885,2022-10-26
89802294-a226-49c4-89da-223d8be84697,437,2022-10-25
610255f2-4db1-4b3d-9c92-d7e0cfd883dc,2099,2022-11-05
393f4bf1-db3f-426e-8060-c89907a376b0,521,2022-11-21
64d2715a-b4cb-4c46-821d-9d04c7225f1d,1994,2022-11-27
4c1404e6-40e1-4393-baf6-823e0898889e,1636,2022-10-24
e1c252fb-3872-4461-b388-8f94633303a4,1866,2022-11-14
c366983c-7e09-4a86-8ed1-a3d2e38ca834,299,2022-12-02
d37d706e-a615-4b9e-acdd-68d98e5ec03a,1614,2022-11-10
824f27d5-c717-4ba0-ba27-4a9eda2224ce,854,2022-11-17
