invoice_code,amount,due_date
71933128-ce69-4690-8299-ebffd9bb6093,17139,02 12   2022
agyc3wmn,KH,23--12--2022
dc1fbca9-88f9-44cc-b2a2-fb3d09264cfe,5X,0112/2022
q4f8k27p,54204,2110/2022
dobi91af,X0,29--10--2022
70128b4e-7ac8-4541-9001-742241d92d22,ra,09 12   2022
cc710ba3-d01d-41bf-b819-dcab08c686ce,71707,1411/2022
tpl2hfco,8F,2022-10-22
54y02drs,y5,2022-12-22
ypheuiqx,32038,08--12--2022
cad33d23-d70a-490c-bdff-767f13849c30,31187,25--10--2022
c140ded6-d134-4f3d-9cdd-7abd6723096b,61544,2810 2022
p2uloif8,62616,2022-12-20
cf3f1dfd-0444-4d9a-8636-f059f83e87dd,Pc,05 11   2022
dbsxo147,42685,21 12   2022
4734be7f-c3f2-4366-a5a5-48c4f8e25cab,dl,1512 2022
mdopuljk,od,2311/2022
97a9749f-1228-427d-bdfc-a7f9d3c55257,0v,02--11--2022
f70cb990-9a6e-41ef-a630-f36a33889460,1L,2022-11-18
b6859b59-6e32-42f4-b81f-94b9930d075d,mD,0412 2022
bd575229-08ac-4ba4-95b3-861e3a2f2958,P1,2022-11-22
pxu2l4a7,bx,26--10--2022
4a09046d-46af-41a6-b199-8c725c7b1306,59414,0812 2022
a14a6834-8fd9-478a-9595-635989a177f2,l4,2012/2022
e9dfcf58-ed37-4677-bd1a-33a220b21a04,ZT,29--10--2022
11213923-882c-4355-8cf5-c81492623d73,mB,04--12--2022
6f9c70e1-2c0c-4ce1-8895-1f526bec602e,sY,03 11   2022
5t3ocl8m,wi,2022-11-29
5edd406a-1e70-4ae7-846f-21048b16a8e3,52607,22 11   2022
wp69tn3r,65280,2022-12-05
6773fe90-6a7b-425f-9799-ed9c4395110b,5I,0811 2022
7jq4wrn3,22647,21 11   2022
f61155d4-cb8b-4e1a-b4e2-3314b0f78047,hF,2022-12-19
4u3gtf60,11434,09 11   2022
e1b2852a-1732-4643-afca-abe6a9615239,wV,1212/2022
d0ceda31-12c5-438e-b0a9-a2f6e71ce13c,26353,24--10--2022
2afq4358,kV,2022-12-10
f1mceno8,ry,2111/2022
tca95rvf,66914,09--12--2022
e57defbf-542d-4ce5-bb49-b476a05c91d4,Zx,1611/2022
f8399c7d-e7e8-4b28-9848-03b1d195c1ed,5A,06--11--2022
b086f0c5-1ef1-4a64-8794-50168b59388e,sW,0911/2022
06a2946f-86c8-4667-abbb-2a397d9f1354,C5,14--12--2022
v4hr6uoy,zf,07--12--2022
wqnc39hr,Ht,19--12--2022
g0tn1w4c,kp,2022-12-10
ed91b31b-3061-43f0-a6a7-18fe7cbbba5e,9T,2810/2022
xgkl2nyj,60330,1012 2022
dd9d6286-5515-4078-8a59-e96a6462a35b,8755,2410/2022
qc70fken,7J,2022-10-31
